% Point Number, Decimal Latitude, Decimal Longitude
   1, 48.0847, -4.3907
   2, 48.2821, -0.6507
   3, 46.7779,  2.6243
   4, 43.4179,  0.8514
   5, 42.0198, -1.3734
   6, 40.3476, -4.3505
   7, 38.3363, -4.5534
   8, 36.4289, -5.7065
   9, 36.1421, -5.4879
  10, 35.4168, -5.5922
  11, 34.1826, -5.5618
  12, 31.7505, -4.3689
  13, 30.4169, -6.1284
  14, 28.6295, -6.5347
  15, 26.5827, -8.1289
  16, 24.9114, -10.8266
  17, 23.9801, -11.5466
  18, 23.2799, -11.7763
  19, 22.5534, -12.1967
  20, 21.7490, -13.0436
  21, 21.5454, -13.1099
  22, 20.9134, -16.5005
  23, 20.5790, -16.4840
  24, 19.3227, -20.0583
  25, 20.4688, -20.4918
  26, 21.3221, -20.3214
  27, 22.7202, -20.2195
  28, 25.1698, -20.3875
  29, 26.1144, -21.0438
  30, 27.3157, -21.4954
  31, 28.5932, -21.3443
  32, 29.9173, -21.1248
  33, 33.5418, -24.6075
  34, 33.5725, -25.5376
  35, 34.1316, -26.9763
  36, 34.9556, -28.0445
  37, 35.3087, -29.9560
  38, 35.9464, -30.7801
  39, 36.1233, -32.4008
  40, 37.5512, -34.1094
  41, 39.1633, -34.6567
  42, 40.5326, -34.4550
  43, 44.4021, -32.3480
  44, 45.8001, -27.5253
  45, 48.0016, -8.9837
  46, 48.0021, -8.1554
  47, 48.0196, -6.3239
  48, 48.0847, -4.3907
