% Point Number, Decimal Latitude, Decimal Longitude
   1, 62.8107,  4.2521
   2, 62.7923,  4.1687
   3, 62.7799,  4.0854
   4, 62.7639,  4.0021
   5, 62.7521,  3.9465
   6, 62.7441,  3.9187
   7, 62.7223,  3.8354
   8, 62.7095,  3.7521
   9, 62.7031,  3.6687
  10, 62.7049,  3.5854
  11, 62.7018,  3.5021
  12, 62.7228,  3.4187
  13, 62.7189,  3.3354
  14, 62.7117,  3.2521
  15, 62.7023,  3.1687
  16, 62.6919,  3.0854
  17, 62.6826,  3.0021
  18, 62.6687,  2.9326
  19, 62.6658,  2.9187
  20, 62.6530,  2.8354
  21, 62.6324,  2.7521
  22, 62.6207,  2.6687
  23, 62.5972,  2.5854
  24, 62.5854,  2.5493
  25, 62.5668,  2.5021
  26, 62.5576,  2.4187
  27, 62.5421,  2.3354
  28, 62.5312,  2.2521
  29, 62.5120,  2.1687
  30, 62.5021,  2.1325
  31, 62.4887,  2.0854
  32, 62.4727,  2.0021
  33, 62.4437,  1.9187
  34, 62.4187,  1.8521
  35, 62.4129,  1.8354
  36, 62.3933,  1.7521
  37, 62.3687,  1.6687
  38, 62.3444,  1.5854
  39, 62.3354,  1.5588
  40, 62.3146,  1.5021
  41, 62.2943,  1.4187
  42, 62.2864,  1.3354
  43, 62.2696,  1.2521
  44, 62.2521,  1.1931
  45, 62.2466,  1.1687
  46, 62.2308,  1.0854
  47, 62.2128,  1.0021
  48, 62.2035,  0.9187
  49, 62.1849,  0.8354
  50, 62.1687,  0.7997
  51, 62.1549,  0.7521
  52, 62.1383,  0.6687
  53, 62.1224,  0.5854
  54, 62.1179,  0.5021
  55, 62.1134,  0.4187
  56, 62.1028,  0.3354
  57, 62.0919,  0.2521
  58, 62.0854,  0.2104
  59, 62.0798,  0.1687
  60, 62.0703,  0.0854
  61, 62.0558,  0.0021
  62, 62.0469, -0.0813
  63, 62.0403, -0.1646
  64, 62.0307, -0.2479
  65, 62.0218, -0.3313
  66, 62.0072, -0.4146
  67, 62.0021, -0.4771
  68, 62.0007, -0.4979
  69, 61.9869, -0.5813
  70, 61.9646, -0.6646
  71, 61.9344, -0.7479
  72, 61.9187, -0.7786
  73, 61.8893, -0.8313
  74, 61.8371, -0.9146
  75, 61.8354, -0.9168
  76, 61.7988, -0.9979
  77, 61.7718, -1.0813
  78, 61.7521, -1.1247
  79, 61.7197, -1.1646
  80, 61.6687, -1.2231
  81, 61.6455, -1.2479
  82, 61.5854, -1.3066
  83, 61.5685, -1.3313
  84, 61.5060, -1.4146
  85, 61.5021, -1.4202
  86, 61.4588, -1.4979
  87, 61.4187, -1.5517
  88, 61.3967, -1.5813
  89, 61.3414, -1.6646
  90, 61.3354, -1.6728
  91, 61.2861, -1.7479
  92, 61.2521, -1.8291
  93, 61.2513, -1.8313
  94, 61.2021, -1.9146
  95, 61.1731, -1.9979
  96, 61.1716, -2.0813
  97, 61.1687, -2.0857
  98, 61.1001, -2.1646
  99, 61.0854, -2.2074
 100, 61.0733, -2.2479
 101, 61.0408, -2.3313
 102, 61.0104, -2.4146
 103, 61.0021, -2.4394
 104, 60.9876, -2.4979
 105, 60.9669, -2.5813
 106, 60.9457, -2.6646
 107, 60.9187, -2.7405
 108, 60.9160, -2.7479
 109, 60.8917, -2.8313
 110, 60.8629, -2.9146
 111, 60.8354, -2.9813
 112, 60.8291, -2.9979
 113, 60.8014, -3.0813
 114, 60.7542, -3.1646
 115, 60.7521, -3.1744
 116, 60.7309, -3.2479
 117, 60.6844, -3.3313
 118, 60.6687, -3.3729
 119, 60.6567, -3.4146
 120, 60.6150, -3.4979
 121, 60.5912, -3.5813
 122, 60.5854, -3.5969
 123, 60.5628, -3.6646
 124, 60.5354, -3.7479
 125, 60.5161, -3.8313
 126, 60.5021, -3.8889
 127, 60.4945, -3.9146
 128, 60.4641, -3.9979
 129, 60.4353, -4.0813
 130, 60.4187, -4.1321
 131, 60.4046, -4.1646
 132, 60.3690, -4.2479
 133, 60.3354, -4.3013
 134, 60.3186, -4.3313
 135, 60.2737, -4.4146
 136, 60.2521, -4.4712
 137, 60.2431, -4.4979
 138, 60.2102, -4.5813
 139, 60.1781, -4.6646
 140, 60.1687, -4.6854
 141, 60.1422, -4.7479
 142, 60.1021, -4.8313
 143, 60.0854, -4.8781
 144, 60.0763, -4.9146
 145, 60.0469, -4.9979
 146, 60.0129, -5.0813
 147, 60.0021, -5.1074
 148, 59.9833, -5.1646
 149, 59.9596, -5.2479
 150, 59.9280, -5.3313
 151, 59.9187, -5.3535
 152, 59.8916, -5.4146
 153, 59.8603, -5.4979
 154, 59.8354, -5.5580
 155, 59.8283, -5.5813
 156, 59.8013, -5.6646
 157, 59.7758, -5.7479
 158, 59.7791, -5.8313
 159, 59.7991, -5.9146
 160, 59.8354, -5.9789
 161, 59.8426, -5.9979
 162, 59.8354, -6.0413
 163, 59.8220, -6.0813
 164, 59.8354, -6.1330
 165, 59.8409, -6.1646
 166, 59.8580, -6.2479
 167, 59.8581, -6.3313
 168, 59.8354, -6.3363
 169, 59.8237, -6.4146
 170, 59.8100, -6.4979
 171, 59.7589, -6.5813
 172, 59.7521, -6.5872
 173, 59.6687, -6.6041
 174, 59.5854, -6.6136
 175, 59.5021, -6.6340
 176, 59.4187, -6.6631
 177, 59.4155, -6.6646
 178, 59.3410, -6.7479
 179, 59.3354, -6.7557
 180, 59.3034, -6.8313
 181, 59.2669, -6.9146
 182, 59.2521, -6.9930
 183, 59.2513, -6.9979
 184, 59.2398, -7.0813
 185, 59.2197, -7.1646
 186, 59.1957, -7.2479
 187, 59.1687, -7.3136
 188, 59.1613, -7.3313
 189, 59.1143, -7.4146
 190, 59.0854, -7.4504
 191, 59.0021, -7.4886
 192, 58.9945, -7.4979
 193, 58.9235, -7.5813
 194, 58.9187, -7.5859
 195, 58.8644, -7.6646
 196, 58.8354, -7.7307
 197, 58.8212, -7.7479
 198, 58.7845, -7.8313
 199, 58.7610, -7.9146
 200, 58.7521, -7.9701
 201, 58.7401, -7.9979
 202, 58.7092, -8.0813
 203, 58.6821, -8.1646
 204, 58.6702, -8.2479
 205, 58.6687, -8.2667
 206, 58.6529, -8.3313
 207, 58.6310, -8.4146
 208, 58.6106, -8.4979
 209, 58.5885, -8.5813
 210, 58.5854, -8.6027
 211, 58.5667, -8.6646
 212, 58.5372, -8.7479
 213, 58.5199, -8.8313
 214, 58.5021, -8.9123
 215, 58.5013, -8.9146
 216, 58.4741, -8.9979
 217, 58.4383, -9.0813
